	Player,	Cost,	Sel,	Form,	PTS
	"
Zanka
BREDEF"	4.5	0.0%	0.0	12
	"
Milivojevic
CRYMID"	5.3	0.0%	0.4	12
	"
Amartey
LEIDEF"	3.8	9.2%	0.0	12
	"
Cavani
MUNFWD"	8.4	1.6%	0.0	12
	"
Shelvey
NEWMID"	5.3	0.1%	2.2	12
	4.8	0.1%	0.0	11	
	"
Vestergaard
LEIDEF"	4.7	0.5%	0.0	11
	"
Pérez
LEIMID"	5.7	0.1%	0.4	11
	"
Dubravka
NEWGKP"	4.4	0.3%	2.2	11
	"
Fernández
NEWDEF"	4.3	0.1%	1.2	11
	"
Idah
NORFWD"	4.9	0.4%	0.6	11
	"
Tella
SOUMID"	4.7	0.1%	1.4	11
	"
Ngakia
WATDEF"	4.3	0.0%	0.6	11
	"
Goode
BREDEF"	3.9	2.0%	1.8	10
	"
Forss
BREFWD"	5.3	0.1%	0.8	10
	"
Firpo
LEEDEF"	4.7	0.3%	0.4	10
	"
Minamino
LIVMID"	5.1	0.1%	1.8	10
	"
Zinchenko
MCIDEF"	5.3	0.7%	1.6	10
	"
Krafth
NEWDEF"	4.3	0.1%	0.0	10
	"
Dowell
NORMID"	5.1	0.0%	0.4	10
	"
Stephens
SOUDEF"	4.4	0.1%	0.2	10
	"
Masina
WATDEF"	4.3	0.1%	0.6	10
	"
Elneny
ARSMID"	4.4	0.4%	1.4	9
	"
Barnes
BURFWD"	5.2	0.7%	0.0	9
	"
Holgate
EVEDEF"	4.2	0.4%	0.4	9
	"
André Gomes
EVEMID"	4.9	0.1%	1.2	9
	"
Dewsbury-Hall
LEIMID"	4.4	0.1%	1.4	9
	"
Struijk
LEEDEF"	4.3	0.1%	0.4	9
	"
Elliott
LIVMID"	5.3	0.1%	0.0	9
	"
Woodman
NEWGKP"	4.4	0.4%	0.0	9
	"
Lewis
NEWDEF"	4.2	0.1%	1.6	9
	"
Lo Celso
TOTMID"	5.9	0.1%	0.0	9
	"
Xhaka
ARSMID"	4.8	0.3%	0.8	8
	"
Roerslev
BREDEF"	4.3	0.0%	1.0	8
	"
Sarr
CHEDEF"	4.9	0.1%	0.0	8
	4.7	0.0%	1.6	8	
	"
Palmer
MCIMID"	4.5	0.1%	1.2	8
	"
Cantwell
NORMID"	5.3	0.2%	0.4	8
	"
Tzolis
NORMID"	4.8	0.0%	0.6	8
	"
Walcott
SOUMID"	5.8	0.1%	0.2	8
	"
Djenepo
SOUMID"	5.2	0.1%	0.0	8
	"
Sema
WATMID"	5.2	0.0%	0.2	8
	"
Tufan
WATMID"	5.0	0.0%	0.4	8
	"
Yarmolenko
WHUMID"	5.1	0.1%	0.2	8
	"
Traoré
AVLMID"	5.7	0.3%	0.0	7
	"
Steffen
MCIGKP"	4.5	0.2%	0.0	7
	"
Hendrick
NEWMID"	4.8	0.0%	0.0	7
	"
Lyanco
SOUDEF"	4.4	0.0%	1.0	7
	"
Sessegnon
TOTDEF"	4.3	0.1%	2.3	7
